STARTUP,ASSUNTO,RESUMO
Jobecam,ENTERPRISETECH,"A Jobecam oferece uma plataforma de seleção por vídeo pioneira, otimizando processos seletivos e reduzindo vieses inconscientes através da seleção anônima por vídeo e currículo. Desde 2016, promove diversidade, eficiência e inclusão em processos seletivos, priorizando a experiência tanto da empresa quanto do candidato."
Keeps,EDTECH ,"A Keeps é uma EdTech que oferece soluções inovadoras de educação corporativa, usando IA, colaboração e mobilidade para impulsionar o conhecimento dos colaboradores e impactar positivamente os negócios."
KOR,REGTECH,"Através da Inteligência Artificial e Analytics, a KOR resolve, de forma automatizada e escalável, conflitos entre empresas e seus consumidores ou funcionários, além de otimizar negociações de recuperação de crédito em massa."
Lexter AI,REGTECH,"O Lexter é a inteligência artifical que analisa, interpreta, revisa e extrai dados de documentos jurídicos dos mais variados tipos. Muito utilizado para contratos, de forma a otimizar a trabalho da equipe jurídica."
Ludos Pro,EDTECH ,"Objetivo de revolucionar a aprendizagem por meio da gamificação, combinando experiência em tecnologia e jogos. Desenvolveram um ambiente lúdico e motivador para estimular o engajamento e a adoção de iniciativas de aprendizado, tornando a aprendizagem mais envolvente."
MarketUP,MEDIA&ADS,"A MarketUP é pioneira em sistemas de gestão gratuitos, oferecendo um ERP online e adaptável a dispositivos. Atuando em todo o país, nossa missão é impulsionar o crescimento de pequenas e médias empresas, proporcionando uma experiência completa para um gerenciamento organizado, controle e economia de tempo."
Mitra,ENTERPRISETECH,"O Mitra é um software no-code que transforma planilhas em ferramentas de produtividade corporativa, com até 5x mais eficiência em processos críticos, sem curva de aprendizado. Elimina silos de informações ao automatizar tarefas manuais, conectando processos em workflows eficazes. "
nFlux,ENTERPRISETECH,"Desenvolveu copiloto de visão computacional para auxiliar os trabalhadores, com foco na indústria de manufatura. A IA e a visão computacional otimizam o trabalho, ao mesmo tempo que melhorar a garantia de qualidade, a formação e a gestão operacional na produção."
Parsed,ENTERPRISETECH,Fornece um Prompt Intelligence Platform (PIP) para  operações comerciais. Permite a inclusão de IA em seu processo para automatizar tarefas.
Privacy Tools,CYBERSEGURANÇA,"Com o foco nos dados e nas leis de privacidade, a Privacy Tools oferece uma plataforma de gerenciamento de privacidade adaptada a vários setores e regulamentos, como LGPD e GDPR, ajudando as empresas a cumprir suas responsabilidades legais na gestão e tratamento dos dados coletados."
Rainforest,CYBERSEGURANÇA,"A Rainforest otimiza equipes de cibersegurança ao identificar perfis falsos, vazamentos, fraudes e vulnerabilidades, mitigando a escassez de profissionais e atrasos na detecção e resolução de problemas críticos. Sua integração com fluxos de desenvolvimento une segurança cibernética ao DevOps, proporcionando uma nova perspectiva para as equipes."
TAQE,ENTERPRISETECH,"TAQE é um aplicativo de empregos que capacita e recomenda jovens para o mercado de trabalho. Por meio de games, em forma de aulas e testes interativos, seu algoritmo inteligente compreende a cultura das empresas e o perfil dos candidatos, realizando o match entre eles."
Taxly,TAXTECH,"Foco em revolucionar a gestão fiscal no complexo cenário brasileiro, oferecendo soluções tecnológicas inovadoras. Através de automações avançadas e tecnologia de ponta, transformam a gestão fiscal em um processo estratégico, economizando tempo e tornando a área de impostos essencial nas empresas."
Virtual Town,MEDIA&ADS,"Virtual.Town é uma plataforma criada no Brasil, sendo uma das mais populares opções para grandes empresas buscando metaversos facilmente acessíveis, rapidamente customizáveis e altamente escaláveis, usada por +2 milhões de pessoas."
WeexPass,ENTERPRISETECH,"Usam IA para criar metas inteligentes e gerar engajamento de colaboradores, que recebem pontos por sua performance para resgatar viagens, jantares, ingressos de shows, Spa e experiencias. Desbloqueio de alta performance para conectar objetivos profissionais a sonhos pessoais."
Bbanking,FINTECH ,"Banco digital que oferece um portfólio completo de serviços e produtos financeiros, com cobrança de tarifas na modalidade pay per use. "
Triven,ENTERPRISETECH,"Consultoria com foco em ajudar startups a estruturarem todo o seu backoffice financeiro, com plataformas voltadas, também, para gestão de pessoal."
2go Bank,FINTECH ,Neobank especializado em liquidação de ativos digitais.
Beeteller,FINTECH ,"PIX Internacional para possibilitar que empresas internacionais ofertem esse meio de pagamento para seus clientes brasileiros. O Cliente paga o valor, que é convertido automaticamente, em Real, e o comerciante recebe na moeda local."
Cerc,FINTECH ,"Primeira registradora de recebíveis de crédito autorizada pelo Banco Central do Brasil. Provê mais segurança nas transações envolvendo ativos financeiros, além de aumentar a oferta de crédito para o mercado."
Credits,FINTECH ,"HUB de soluções de crédito, risco e cobrança, onde o cliente consegue resolver todos os problemas em um único lugar e vender mais com segurança."
Ermetic,CYBERSEGURANÇA,Soluções de cybersegurança voltadas para a Nuvem.
gupshup,ENTERPRISETECH,"Plataforma de engajamento conversacional para marketing, comércio e suporte. Criação e personalização de chatbot omnichanel."
Mb.labs,ENTERPRISETECH ,"Consultoria por meio de Squad Tech, com foco em Serviços de Desenvolvimento, Gestão e Produto, Design UI/UX, Migração e Expansão de Plataformas Digitais."
Minds Digital,CYBERSEGURANÇA,"Ferramenta de autenticação por voz, pioneira na prevenção de fraudes em multicanais."
Mova,FINTECH ,"Plataforma Credit as a Service, com um sistema modular que atende todo o ciclo de crédito e permite o desenvolvimento rápido de produtos de crédito."
PO27,FINTECH ,"Plataforma que executa 100% do processo para formalizar a garantia de veículo para bancos, financeiras, administradoras de consórcio e fintechs."
Prove,CYBERSEGURANÇA,"Verificações exclusivas para anti-fraude (autenticação, reputação e verificação)."
QI Tech,FINTECH ,"One-Stop-Shop: Banking as a Service, Credit as a Service, antifraude PIX e onboarding digital. Infraestrutura tech para crédito, banking, pagamentos, cobrança, onboarding, antifraude e tudo o que você precisa para oferecer serviços financeiros."
ROIT,ENTERPRISETECH ,"Plataforma com Esteira de Contas a Pagar, com o objetivo de simplificar o processo de pagamento aos fornecedores. Funcionalidades como: Recebimento Automática de Documentos, Extração Inteligente de Informações e Conciliação Automatizada."
Softtek,ENTERPRISETECH,"Plataforma no metaverso, possibilitando criar experiências hiperpersonalizadas para clientes internos e/ou externos."
Único,CYBERSEGURANÇA,Soluções baseadas em biometria facial. Visam gerar mais negócios para a empresa e melhores experiências para os clientes.
Vetera,FINTECH ,"Plataforma eletrônica para o registro eletrônico de contratos de financiamento de veículos, permitindo a comunicação ágil, eficiente e segura entre os agentes financeiros credores e os Detrans"
Yassaka,EDTECH ,"Foco em educação e treinamento voltado para negócios, referência no mercado financeiro. Especialidade em transformar empresas e profissionais com metodologias que visam resultados com significado."
ShowMe,ENTERPRISETECH,A primeira plataforma exclusiva no metaverso de entretenimento em formato híbrido do Brasil.
Accredito Benefícios,FINTECH ,Plataforma de Gestão de Benefícios direcionados à empregados (ex: vale alimentação e vale refeição).
Raízes Microfinanças,FINTECH ,"Plataforma com foco em microfinanças, buscando atingir milhões de pessoas que não possuem acesso ao mercado de crédito formal. Utilização de tecnologia robusta, para uma jornada segura e 100% digital."
BcodeX,FINTECH ,Bcodex trabalha com soluções financeiras relacionadas a hub de pagamentos.
Zapay,FINTECH ,A Zapay é uma empresa especializada em pagamentos de débitos veiculares e veio para revolucionar o jeito que as pessoas pagam esses débitos. A empresa surgiu em 2017 e já atingiu a marca de 4 milhões de proprietários de veículos atendidos e quase 500 mil veículos regularizados.
Teddy Digital,FINTECH ,"A Teddy Open Finance é uma fintech inovadora que visa transformar o mercado financeiro, oferecendo soluções modernas para bancários autônomos e escritórios financeiros. A plataforma Teddy 360° busca digitalizar tarefas financeiras, conectar profissionais a produtos e instituições e mostrar que o sucesso bancário pode ser alcançado de forma autônoma."
Fido,FINTECH ,"A Fido é uma instituição financeira autorizada pelo Bacen, oferecendo diversificação automática de investimentos via P2P lending para PJ, PF e fundos de investimento. Além disso, disponibiliza produtos como Score de crédito e emissão de CCBs registrados na B3, com capacidade de escalabilidade devido à sua tecnologia própria e custos reduzidos."
Sofia Resolve,MEDIA&ADS,"A Sofia Resolve é uma assistente virtual voltada para pequenos empreendedores, que utiliza a Inteligência Artificial para automatizar tarefas empresariais diárias, como posts em redes sociais, cópias de vendas e modelos de contratos, poupando tempo e esforço dos usuários."
Solar Bot,SMART CITIES,"A Solar Bot é o pioneiro fabricante nacional de robôs de limpeza de painéis solares, autônomos e sustentáveis, sem uso de água. Seu protótipo foi testado em usinas reais (POCs) e está incubado no PCTEC (Parque tecnológico da UnB), com sócios engenheiros, profissionais do mercado solar e administradores."
NanoScoping,SUSTAINABILITY ,NanoScoping é referência nacional no desenvolvimento de ativos à base de nanotecnologia verde para vários segmentos.
Smile,MEDIA&ADS,"A Smile é uma empresa de tecnologia em Customer Experience, com diferentes ferramentas pra medir e melhorar as métricas de NPS e CSAT, avaliando cada interação com o cliente de forma automatizada e em tempo real. Possuímos integração com Zendesk, SalesForce e outros sistemas."
Bit.fy,FINTECH ,"Facilita a relação de empresas com o ecossistema de inovação em blockchain, permitindo o desenvolvimento de soluções para troca de valor ou informação de forma rápida e intuitiva."
Gloda,ENTERPRISETECH,Promovem a liberdade de empresários varejistas e consumidores através de tecnologias de gestão de mercadorias e vendas sem contato físico. A melhor automação para o seu negócio oferecer a melhor experiência para seus clientes.  
Go! Health ,HEALTHTECH,"Ajudam profissionais de Recusos Humanos com dados e pontos de atenção sobre a saúde primária da população empresarial. A aplicação de pesquisas e das informações geradas por meio de BI, planejam ações e Programas de Saúde para prevenir e tratar doenças."
9wallsec,CYBERSEGURANÇA,"O Guardião do Agro é um mecanismo abrangente que combina software, educação para o consumo e a implementação de produtos e serviços para abordar diversas preocupações do produtor rural. Ele visa inibir infraestrutura e prevenir roubo, acidentes pessoais, fraudes e golpes, além de oferecer proteção documental. "
MART Plataforma de Arte,ARTTECH,"A MART é a primeira Artech do centro-oeste, uma startup que está construindo uma plataforma para fortalecer o universo da arte contemporânea e ser uma ponte para que mais pessoas participem desta comunidade."
Smartplace,ENTERPRISETECH,"O Smartplace representa uma solução avançada que não apenas simplifica a gestão de APIs, mas também oferece oportunidades significativas de receita para provedores. Ao integrar monetização flexível com visibilidade aprimorada, o Smartplace tem por objetivo se posicionar como líder no mercado de Marketplaces API, impulsionando a eficiência e a colaboração no ecossistema de desenvolvimento de software."
Cotapp,RETAILTECH,Ecossistema colaborativo de Inteligência de preço
Pulpa,FINTECH ,"Aplicativo voltado para o incentivo à previdências desde o nascimento da criança. Além disso, possibilita receber presente de familiares e gravar vídeos para um capsula do tempo, que será resgatado pela criança quando atingir a maior idade. Promove a educação financeira na família desde o início."
Storyly,ENTERPRISETECH,"Plataforma de engajamento do usuário que incorpora ""stories"" interativos e compráveis em aplicativos e sites. Inspirada pela criatividade transformadora e impulsionada pela flexibilidade, consiste em explorar e revolucionar a forma como as empresas se conectam e constroem relacionamentos duradouros com seus usuários, sejam eles B2B ou B2C."
Amora,ENTERPRISETECH,"A aMORA é uma nova opção para o mercado imobiliário, mais flexível e acessível para quem sonha comprar um imóvel. Somos parceiros na compra da casa própria, possibilitando você morar e testar sua futura residência enquanto te ajudamos a guardar dinheiro.
<br><br>
Somado a isso, nossa tecnologia exclusiva de análise dos imóveis ajuda e dá suporte aos nossos clientes no caminho totalmente personalizado para a casa própria."
Pagani Financeira,FINTECH ,"A Pagani Financeira tem por objetivo disponibilizar acesso a recurso financeiro para alunos,  possibilitando o estudo do ensino de base da pré-escola ao ensino médio de maior qualidade que estão nas escolas privadas, e, com isso, conscientizando mais alunos ao interesse e investimento no ensino superior para melhoria de qualidade de vida, desenvolvimento humano, salários maiores e desenvolvimento de pesquisas e tecnologias alinhando esses objetivos a diversas instituições de ensino para que sejam parceiras nesse processo."
Estoque car ,ENTERPRISETECH,Estoque car é uma plataforma para compartilhamento de estoque entre lojistas de veículos novos e seminovos entre outras atribuições pagamentos de débitos ex: multas e Ipva de veículos
Scalador,ENTERPRISETECH,"A Scalador é uma startup de fornecimento de mão-de-obra para o setor food service. Agilizamos a contratação de freelancer para preenchimento das vagas que são abertas nos estabelecimentos gastrônomicos de última hora. O gestores sofrem com a alta rotatividade de profissionais no setor. A Scalador surge para agilizar e trazer confiança nesse processo de contratação, dando maior liberdade para contratação repentina, e gerando renda para profissionais que estão desempregados ou desejam aumentar sua renda."
Escreva,EDTECH ,"É um hub que conecta pessoas que irão escrever o primeiro livro por meio deuma jornada de desenvolvimento e acompanhamento, dentro de um espaço quepromove o conhecimento e os acolhimento às pessoas que sonham em escrever um livro, mas que não sabem por onde começar."
Truvô,ENTERPRISETECH,"Solução Completa para Logística, distribuição e Delivery. Entregadores, CLT e CCT, Sistema próprio, Frota nova e dedicada. Primeira empresa no ramo 100% enquadrada na lei, sem entregadores autônomos, sem passivos trabalhistas ao nosso cliente, sem custo de frota, seguros, manutenções e o melhor, um time sempre disponível de forma dedicada e exclusiva em cada operação. Pessoal com procedência, treinados, padronizados, qualificados, levando ao limite toda a qualidade e cultura que nossos clientes imprimem em suas empresas. Aumento médio de produtividade em mais de 300% e custo,  em média 40% mais Baixo. Entramos em clientes que nunca operaram com Terceirizados e estamos fazendo história, triplicando faturamento em menos de 1 ano, apenas com ajuste logístico operacional."
KRIATIVESE,ENTERPRISETECH,Metodologia inovadora que usa a Arte Educação como ferramenta educacional de inclusão social
Kronoos,ENTERPRISETECH,"Com a plataforma da Kronoos, a sua empresa passa a contar com um sistema de compliance completo e dinâmico para obter e analisar dados, detalhados e essenciais, de seus clientes, funcionários, parceiros e fornecedores em segundos.

Através de nosso Dossiê Compliance e Background Check, você levanta e organiza milhares de informações fundamentais de seu target, com possibilidade de filtros, ações e estratégias para suas melhores tomadas de decisão."
Arvorah,HEALTHTECH,"Somos uma healthtech que atua no cuidado da saúde através da inteligência dos dados. A Arvorah surge em resposta ao aumento global das Doenças Crônicas Não Transmissíveis (DCNTs), com elevado impacto nas políticas de saúde e na economia.  Nossa missão é agregar inteligência de dados à saúde, com foco nas DCNTs, visando uma gestão dinâmica e eficiente dessas linhas de cuidado tanto para o setor público quanto para o privado.  Na Arvorah, acreditamos na transformação por meio da inovação e inteligência de dados para enfrentar os desafios contemporâneos da saúde."
Octopag,CYBERSEGURANÇA,"Sistema de segurança que triangula os vasos sanguíneos da palma das mãos, em vez de impressões digitais ou outras formas de biometrias. Possuem, também, um sistema de autenticação de identidade individual por meio de biometria facial de alta precisão para a validação de entradas em eventos."
ThinkSUS,SUSTAINABILITY ,"A ThinkSus é uma empresa de consultoria e certificação digital que democratiza o acesso de médias e pequenas empresas no ESG, através de alta tecnologia e segurança de dados, o que propicia transparência, métricas comparáveis e evita greenwashing."
T&D Sustentável Comércio e Instalações LTDA,SUSTAINABILITY ,"Apresentamos um inovador modelo de negócios que utiliza tecnologia e metodologia próprias para entregar um completo pacote de gestão de recursos hídricos chamado SEA, o Sistema de Economia de Água, que tem foco total no combate ao desperdício deste importante recurso e que pode ser adquirido sem a necessidade de qualquer investimento por parte do cliente."
Autoinsp,INSURTECH,"A Autoinsp é uma solução antifraude com IA e processamento de imagens que analisa dados de acidentes, simula hipóteses em ambiente virtual e compara com danos reais do veículo para detectar irregularidades. "
4You,SMART CITIES,"Plataforma completa de pesquisa, organização e controle de sua viagem com a utilização de tecnologias como inteligência artificial e blockchain"
LinkB2B Holding ,ENTERPRISETECH,"Empresa de aceleração comercial, com metodologia baseada em estratégias de marketing e vendas, com foco no aumento do volume de faturamento de nossa carteira de clientes."
QIMED Engenharia Hospitalar,HEALTHTECH,"O Núcleo de Educação Corporativa e Desenvolvimento Tecnológico QIMED está comprometido com a geração de impacto positivo na área da saúde, por meio de: • Formação de profissionais altamente qualificados e atualizados: contribuindo para a melhoria da qualidade da assistência à saúde e da segurança do paciente. • Difusão de boas práticas e inovações: impulsionando a modernização do setor de saúde e a otimização dos recursos. • Promoção da pesquisa e do desenvolvimento: incentivando a produção científica e a busca por soluções inovadoras para os desafios da saúde."
InnovaGestão- Consultoria em Informação Ltda.,ENTERPRISETECH,"A InnovaGestão, consultoria especializada em gestão e governança de dados, documentos e informação, atua em parceria com seus clientes para promover a excelência e inovação. Criada em 2012, atuou até 2018, retomando em 2023, sempre trabalhando com softwares livres e de código aberto, oferecendo soluções econômicas e alinhadas a padrões internacionais. Oferecemos serviços abrangentes, incluindo o desenvolvimento de repositórios digitais, automação de bibliotecas, projetos em humanidades digitais e gestão de dados. Priorizamos a capacitação de nossos clientes, visando à organização, preservação e acesso eficaz à informação. A InnovaGestão oferece hospedagem de repositórios digitais na nuvem, cursos interativos em nosso Laboratório Virtual de Capacitação e soluções abertas como DSpace, Archivematica, Koha, Tematres, VuFind, Gephi e outras."
Legislapp,GOVTECH,"Como saber quais decisões do governo impactarão o seu negócio? Vamos falar sobre relações governamentais, também conhecido como lobby. Nossa plataforma mapeia automaticamente, aplica monitoramento em tempo real nos dados públicos do governo e notifica sobre mudanças que podem ser relevantes para você."
ProfPLay,EDTECH ,"Plataforma única de Treinamentos e eventos presenciais, onlines e hibridos, com experiência automatizada para os usuários e organizadores destes eventos/treinamentos, com Inteligência Artificial para Recrutamento e seleção e onboarding ágil de novos servidores"
Quanto Custa Reformar,SMART CITIES,"Uma ferramenta gratuita para o cálculo dos custos de reformas residenciais. Além disso, disponibiliza informações personalizadas como a quantidade certa de materiais para a sua obra. Tudo online, gratuito, sem intermediadores e automatizado."
MAD Tec,ENTERPRISETECH,"A MAD Tec se destaca no mercado ao oferecer serviços de clipping jornalística especializada por palavra-chave e filtragem. Nossa abordagem baseia-se na análise inteligente de informações, permitindo aos clientes acessar e monitorar notícias relevantes de maneira ágil e precisa."
Futurize,EDTECH ,Somos um hub de soluções de educação corporativa de alto impacto. Desenvolvemos as pessoas para criarem futuros incríveis dentro das empresas. 
Fido,FINTECH ,
AutlsmyKR,HEALTHTECH,Serious Games : para além do entretenimento. Plataforma de terapia para pessoas com TEA - Transtorno do Espectro Autista por meio da sociabilização por meio de IA e jogos em VR.
Space Farm,SMART CITIES,"O All to Space entra no cenário nacional para transformar a realidade da gestão agrícola, proporcionando aos produtores de frutas uma ferramenta indispensável para otimizar suas operações. A empresa tem o propósito de preencher a oportunidade da falta de informações que muitos agricultores enfrentam. Ao oferecer um acompanhamento agronômico preciso, o All to Space capacita os agricultores a tomar decisões informadas, superando desafios como a variabilidade climática e incertezas do solo."
Rango sem Fila,SMART CITIES,"Uma startup pioneira na integração do mundo físico com o digital, que tem como propósito ser um ecossistema completo para o segmento de alimentação, alinhando a disrupção da forma como as pessoas se alimentam com a modernização operacional do varejo."
Leadfy,MEDIA&ADS,"A Leadfy é uma empresa de marketing digital e tecnologia (Martech) especializada no segmento automotivo. Trabalhamos com inteligência digital para promover nossos clientes (revendedores de carros) em mídias digitais como Google, Facebook, Instagram e TikTok por meio de anúncios pagos e marketing de entrada. Nossa solução conecta automaticamente o inventário do revendedor do site às plataformas de anúncios sociais, entregando mais tráfego qualificado ao site deles."
SciTarc,IA,"Plataforma de inteligência artificial e análises dados para gestão de projetos e biotecnologia agro/health, utilizando inteligência artificial."
OndaSup,SMART CITIES,"A OndaSup foi idealizada como uma empresa para gerar capital de bem-estar, transformação e renda no cenário de novas economias: com a economia de IMPACTO."
iDooc,HEALTHTECH,"O iDooc é uma plataforma digital e um aplicativo que revoluciona o acesso à saúde e bem-estar. Funciona como um buscador e agendamento de profissionais de saúde, oferecendo consultas presenciais, domiciliares ou por telemedicina, com geolocalização em tempo real. Os pacientes se cadastram gratuitamente e escolhem profissionais com base em suas especializações e disponibilidade, pagando apenas se houver consulta. Profissionais de saúde também se beneficiam ao aumentar sua rentabilidade e flexibilidade."
Adecco,ENTERPRISETECH,"Ajudamos as empresas a otimizar seus talentos, transformar suas forças de trabalho e construir a empregabilidade das pessoas ao redor do mundo."
Adwake,ENTERPRISETECH,"Estratégias de performance com foco na aquisição e engajamento de usuários dentro de aplicativos, gerenciando toda a campanha, com um time próprio, otimizando os resultados"
Afilio,MEDIA&ADS,Conecta anunciantes a uma rede exclusiva de afiliados e parceiros estratégicos. Nossa expertise oferece estratégias que conduzem marcas e afiliados ao sucesso nos negócios.
AgroU,SUSTAINABILITY ,"Plataforma de conectividade destinada ao setor rural, facilitando a interação de toda a cadeia produtiva do agronegócio, permitindo comunicação entre produtores rurais, negociação de bens, contratação de profissionais qualificados e futuramente facilitação de acesso a crédito."
AI Collaborator,IA,"Um ecossistema colaborativo construído com startups de IA que impulsionam o futuro dos negócios baseados em dados
No AI Collaborator, trabalhamos com as principais startups de IA de todo o mundo para trazer as inovações mais atraentes aos nossos clientes"
Ally Plus,EDTECH ,Com o Ally+ você tem um parceiro para não se preocupar com vários desafios operacionais de uma agência de intercâmbio. Plataforma de venda de intercâmbio
Amora,FINTECH,"Descomplicamos a compra do imóvel, junte e comece com apenas 5% e junte os 20% do financiamento em apenas 3 anos. "
Bankuish,FINTECH,"O trabalho por aplicativo é o presente e o futuro do trabalho. Infelizmente muitas instituições financeiras ainda não estão prontas para fazer uma análise de crédito de trabalhadores de aplicativos. Bankuish faz a ponte, ajudam os trabalhadores de aplicativo a conseguirem produtos financeiros com preços e condições justas e acessíveis."
Base39,FINTECH,Infraestrutura de empréstimos para a sua fintech decolar. Produtos como: Empréstimo consignado privado; Antecipação de Salário; Antecipação Saque Aniversário FGTS
Bilheteria Digital,SMART CITIES,"Venda de ingressos, sistema de acompanhamento de vendas e controle de acesso. Nós prezamos desde sempre pela facilidade e velocidade da sua compra."
Blipay,FINTECH,"Plataforma que oferece antecipação de salário de forma rápida e segura. Com ela, os trabalhadores podem receber o pagamento das horas já trabalhadas imediatamente, evitando os ciclos de pagamento das empresas. Essa solução ajuda a resolver emergências e problemas de liquidez, melhorando a qualidade de vida dos trabalhadores."
BLUECYBER ,CYBERSEGURANÇA,"Empresa especializada em produtos de seguro cyber, como vazamento de informações e proteção da reputação digital, roubo de identidade digital e recuperação de informações."
Carteiro Amigo Express ,SMART CITIES,"Serviço de Courier em áreas de dificil acesso (comunidades). Gera um endereço na sua comunidade para poder receber compras da internet com mais comodidade e segurança, sem precisar se preocupar em pegar fila ou gastar com condução."
Celcoin,FINTECH,"Plataforma que oferece soluções de Embedded Finance para empresas de todos os segmentos, integrando serviços bancários e financeiros às suas necessidades."
CloQ,FINTECH,"CloQ oferece nano-crédito com transparência, rapidez, flexibilidade nos dias de pagamento, juros justos e atendimento humano – tudo no seu celular, a um clique de distância"
Conta Comigo,FINTECH,"Solução que busca reunir todos os boletos do usuário, a partir do CPF. Além dos boletos tradicionais registrados, possui diversos convênios que possibilita a visão de contas como Caesb e Neoenergia."
Dialog,ENTERPRISETECH,"App, rede social corporativa, intranet, e-mail e TV em uma só plataforma que conta com o exclusivo Índice de Engajamento."
Dinheirow,FINTECH,"Plataforma de empréstimo online, que nasceu com um propósito de melhorar a vida das pessoas, realizando empréstimos com juros baixos e educação financeira. Atua como correspondente bancário."
Docato,REGTECH,Automações inteligentes no backoffice jurídico. Ganhe eficiência operacional e gere resultados financeiros expressivos na gestão de contencioso em seu departamento jurídico.
Dotz,FINTECH,"Plataforma de benefícios e programa de fidelidade que te permite acumular Dotz em lojas físicas, online, em compras com cartões"
DRIM,MEDIA&ADS,"Gerar vendas, atrair novos clientes e aumentar o reconhecimento da marca. Pague somente pelos resultados."
Economapas,ENTERPRISETECH,"Através do cruzamento de informações socioeconômicas por geolocalização, você será capaz de analisar de forma objetiva as áreas da cidade com maior potencial de faturamento."
E-fluxus,REGTECH,"Plataforma combina tecnologia de ponta e conhecimento jurídico na leitura, análise e extração de dados de documentos e contratos não estruturados e não padronizados, utilizando OCR e Inteligência Artificial"
Emigro,FINTECH,Solução de pagamentos e remessas em moeda digital que cidadãos globais de todo o mundo usarão para transferir dinheiro através das fronteiras. Utilizam stablecoins como solução para otimizar essas trasações.
ESGscan,SUSTAINABILITY ,Relatórios ESG (meio ambiente | social | governança) automatizados baseados em dados públicos para sua empresa e seus fornecedores.
Etag,ENTERPRISETECH,"Uma solução simples que coleta dados, envia e-mails remarketing e transacionais, recomenda produtos e interage automaticamente com sua audiência. Tudo em tempo real."
Foxbit ,CRYPTO&DIGITAL,Pltaforma que apresenta amplo portfólio para investimentos em criptomoedas. 
G&L Group,FINTECH,Empresa argentina com 30 anos de indústria de TI. Especializados em fornecer soluções focadas em Bancos e Finanças.
GAC Brasil,REGTECH,A G.A.C. Group é uma empresa internacional de consultoria em inovação e desempenho.
GTN - Global Trading Network,FINTECH,"Ferramenta para equipar instituições financeiras em todo o mundo com tecnologia financeira incorporada escalável e personalizada, permitindo os seus próprios clientes para oportunidades de investimento a nível global."
GüENO,FINTECH,"Solução de IA para monitoramento transacional, fraude e compliance para Bancos e Fintechs."
Gyra+,FINTECH,Facilitamos o processo de tomada de decisão de crédito com dados do Open Finance e Inteligência Artificial para melhorar os resultados.
Hathor Labs,ENTERPRISETECH,Plataforma blockchain fácil de usar que fornece uma maneira intuitiva e eficiente de construir e implantar aplicativos.
Hatix/Zelros,IA,"Plataforma SaaS que oferece recomendações de seguros personalizadas para linhas de pessoas físicas e pequenas empresas, ajudando as seguradoras a fornecer a melhor cobertura aos seus potenciais segurados."
Hoff Analytics,ENTERPRISETECH,"Plataforma que faz o monitoramento de todas as atividades da construção civil, permitindo que empresas que oferecem algum tipo de produto ou serviço relacionado com o ecossistema da construção acompanhe todo o Brasil, e saibam o cliente, momento e endereço da oportunidade de negócio. Acomodando em detalhes, obras de todo o Brasil, com informação sobre fase, metragem, endereço, responsáveis técnicos e outros"
Innuvem Consultoria,CYBERSEGURANÇA,"Especializada em serviços de Computação em Nuvem. Em parceria com a Microsoft e com a Zscaler, atuamos nas frentes de governança, automação, análise de dados e segurança da Informação de forma ativa, entendendo o seu problema e atuando com o foco no cliente"
MeetRox,IA,Plataforma de Sales Enablement que captura e analisa automaticamente ligações e vídeo calls com ajuda de IA. Preenchimento Automático de CRM
Meetz,MEDIA&ADS,"Solução em Sales Engagement. Hub de prospecção B2B, provendo contato com os tomadores de decisão do mercado. Acesso a uma base de mais de 23 milhões de leads de diversos segmentos para acelerar sua prospecção."
Meu Patrimônio,FINTECH,"Missão de fazer com que as pessoas tenham seu patrimônio multiplicado de forma transparente, ausente de comissões ou taxas ocultas. Com metodologia e aplicativo próprio, além de diversos produtos digitais para acompanhar as pessoas em todas as etapas da jornada financeira."
Multiledgers,CYBERSEGURANÇA,Ecossistemas de blockchain pré-construídos para segmentos da indústria específicos
Negocie online,FINTECH,"A Negocie Online é uma empresa de tecnologia que nasceu para conectar pessoas e empresas, e, dessa forma, viabilizar a melhor negociação das suas dívidas. Em apenas 3 passos visualiza as informação da dívida, descontos e escolhe a opção que cabe no bolso. Totalmente on-line e com e condições especiais."
Neo,MEDIA&ADS,Plataforma de atendimento omnichannel promovendo uma experiência personalizada em cada atendimento. Integração de canais; Acesso ao histórico do cliente desde o primeiro contato; Análises precisas dos indicadores de resultados para tomar as melhores decisões
NFE.IO,ENTERPRISETECH,"NFE.io reduz o tempo e a complexidade gasta com emissão de notas fiscais e consulta de dados. Ajudando a ganhar performance, tempo e dinheiro, focando no negócio, e deixando toda burocracia de comunicação com o governo."
Oinc,FINTECH,"Oinc é uma conta digital que automatiza suas finanças e investe em títulos públicos do Tesouro Direto. 
Conecte as contas bancárias que quiser. O Oinc vai arredondar os centavos das suas compras nos cartões de crédito das contas conectadas, e vai investi-los automaticamente numa conta que rende 100% da taxa Selic."
Palantir Technologies ,IA,Empresa pública americana especializada em plataformas de software para análise de big data.
Pay2B,FINTECH,"A Pay2B é um Ecossistema de serviços de pagamento, baseado na economia de nuvem e APIs, permitindo que várias entidades se conectem por meio de APIs, integrando de forma segura, rápida e eficaz todo o processo de compra e pagamento fim-a-fim, da captura à conciliação"
PayPay Hub,FINTECH,"Plataforma completa que oferece uma variedade de recursos e funcionalidades para atender às necessidades dos comerciantes. Possuem: Pagamento de Boletos, Cadastro de Empresas, Gerenciamento de Administradores, Pagamento via PIX e Cartão de Crédito, Antecipação de Recebíveis."
